City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Uaua,BR,85.51,broken clouds,-9.8414,-39.4817,Hotel Uauá
473,Punto Fijo,VE,84.33,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
478,Rodeo,US,86.05,clear sky,38.033,-122.2669,Captain's Cottage
480,Remanso,BR,85.73,scattered clouds,-9.6179,-42.0831,Hotel Mangueira
483,Kollam,IN,85.87,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
489,Itapetinga,BR,84.58,few clouds,-15.2489,-40.2478,Hotel Del Rey
490,Sur,OM,88.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
492,Kota Tinggi,MY,84.29,overcast clouds,1.7381,103.8999,Canopy Tribe
495,Asyut,EG,80.78,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
497,Labuhan,ID,77.02,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
499,Namatanai,PG,79.75,light rain,-3.6667,152.4333,Namatanai Hotel
501,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
504,Paita,PE,77.56,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
508,Eirunepe,BR,78.24,light rain,-6.6603,-69.8736,Atrás de você
510,Trat,TH,79.79,moderate rain,12.5,102.5,สวนหนิง-อัศ
512,Nova Olimpia,BR,84.47,scattered clouds,-14.7972,-57.2881,Motel glamour
519,Manokwari,ID,78.75,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
520,Anloga,GH,84.42,scattered clouds,5.7947,0.8973,Pin Drop Hotel
523,Aquiraz,BR,84.29,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
529,Taylorville,US,86.25,clear sky,39.5489,-89.2945,Economy Inn
532,Isla Mujeres,MX,86.16,overcast clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
535,Rio De Janeiro,BR,75.31,scattered clouds,-22.9028,-43.2075,Hotel Málaga
541,Benjamin Constant,BR,86.13,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
542,Merta,IN,87.8,few clouds,26.65,74.0333,V Resorts Ganthiya
543,Jacareacanga,BR,81.93,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
545,Webb City,US,78.8,broken clouds,37.1465,-94.463,Lakeside Cottages of Joplin
548,Puerto Ayacucho,VE,83.17,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
550,Mizdah,LY,85.5,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
554,Tabas,IR,83.98,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
555,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
560,Basco,PH,84.09,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
562,Natal,BR,82.62,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
563,Kingsport,US,88.86,broken clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
565,Sabang,ID,83.91,overcast clouds,5.8933,95.3214,Hotel Citra
570,Bombo,ID,77.49,broken clouds,-8.6131,119.0131,Losmen Mustika
571,Gurupa,BR,77.41,broken clouds,-1.405,-51.64,Residencial DWD
579,Santa Rosa,PH,82.9,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
581,Wukari,NG,84.11,overcast clouds,7.85,9.7833,Elimtop
588,Jalu,LY,81.52,clear sky,29.0331,21.5482,صاحبة الفخامة
591,Jitra,MY,78.69,few clouds,6.2681,100.4217,Hotel Darulaman
594,Governador Valadares,BR,82.76,broken clouds,-18.8511,-41.9494,Hotel Panorama
598,Buala,SB,80.28,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
599,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
605,Itaituba,BR,86.16,scattered clouds,-4.2761,-55.9836,Hotel Campos
606,Boissevain,CA,75.7,clear sky,49.2306,-100.0559,Boissevain Campgrounds
608,Grand-Santi,GF,76.6,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
610,Nalsian,PH,76.69,few clouds,16.0187,120.3518,Ragtime Suites
619,Kavieng,PG,81.63,light rain,-2.5744,150.7967,Nusa Island Retreat
620,Bluefield,US,83.16,scattered clouds,37.2698,-81.2223,Economy Inn
621,Umm Lajj,SA,82.22,clear sky,25.0213,37.2685,Moon light Furnished Units
624,Seguela,CI,81.14,light rain,7.9611,-6.6731,Hotel le Carrefour
627,Ugoofaaru,MV,83.66,light rain,5.6667,73.0,Ungoofaaru Inn
632,Biak,ID,75.96,overcast clouds,-0.9131,122.8766,Penginapan Kim
