City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Zabaykalsk,RU,49.6333,117.3167,37.22,53,57,10.38,broken clouds
106,Bredasdorp,ZA,-34.5322,20.0403,54.72,86,100,4.79,overcast clouds
107,Constitucion,CL,-35.3333,-72.4167,61.32,69,7,12.53,clear sky
108,Ahipara,NZ,-35.1667,173.1667,55.96,72,100,12.48,overcast clouds
109,Kahului,US,20.8947,-156.47,84.97,61,40,8.05,scattered clouds
110,Longyearbyen,SJ,78.2186,15.6401,28.24,69,75,11.5,broken clouds
111,Sokoto,NG,13.0609,5.239,93.34,19,52,0.47,broken clouds
112,Twentynine Palms,US,34.1356,-116.0542,87.93,11,0,1.01,clear sky
113,Dikson,RU,73.5069,80.5464,21.74,91,46,7.83,scattered clouds
114,Shagamu,NG,6.8432,3.6478,82.18,83,16,4.56,few clouds
115,Georgetown,MY,5.4112,100.3354,81.9,88,20,2.3,few clouds
116,Severo-Kurilsk,RU,50.6789,156.125,39.9,76,99,14.16,overcast clouds
117,Salalah,OM,17.0151,54.0924,86.09,70,40,5.75,scattered clouds
118,Remedios,CU,22.4947,-79.5458,85.12,65,50,18.66,scattered clouds
119,Kitovo,RU,56.8659,41.2825,51.87,85,71,5.7,broken clouds
120,Saint George,US,37.1041,-113.5841,80.8,18,1,5.01,clear sky
121,Kandrian,PG,-6.2167,149.55,78.6,86,100,13.11,light rain
122,High Level,CA,58.5169,-117.136,48.31,36,20,14.83,few clouds
123,Port Alfred,ZA,-33.5906,26.891,73.09,40,100,13.02,overcast clouds
124,Ponta Delgada,PT,37.7333,-25.6667,63.32,67,40,6.91,scattered clouds
125,Yanliang,CN,34.6592,109.2292,61.79,31,100,7.27,overcast clouds
126,Touros,BR,-5.1989,-35.4608,81.5,76,99,14.43,overcast clouds
127,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,94,15.35,light rain
128,Kaitangata,NZ,-46.2817,169.8464,39.92,88,5,4.65,clear sky
129,Lively,CA,46.4334,-81.1498,70.72,32,94,8.01,overcast clouds
130,Palmer,US,42.1584,-72.3287,72.93,42,75,8.01,broken clouds
131,Cumbitara,CO,1.6517,-77.5823,67.91,80,91,4.94,light rain
132,Maragogi,BR,-9.0122,-35.2225,77.36,75,100,7.99,overcast clouds
133,Peniche,PT,39.3558,-9.3811,60.73,66,5,21.09,clear sky
134,Bluff,NZ,-46.6,168.3333,38.71,81,6,9.33,clear sky
135,Worland,US,44.0169,-107.9554,68.45,23,1,17.0,clear sky
136,Olyka,UA,50.7186,25.8125,58.93,68,100,6.6,overcast clouds
137,Pevek,RU,69.7008,170.3133,31.78,80,100,4.03,overcast clouds
138,Horta,PT,38.5333,-28.6333,64.04,68,20,16.11,few clouds
139,Brownsville,US,25.9018,-97.4975,87.75,71,75,5.99,broken clouds
140,Castro,BR,-24.7911,-50.0119,53.87,65,88,3.36,overcast clouds
141,Tuatapere,NZ,-46.1333,167.6833,33.6,91,12,5.21,few clouds
142,Pangnirtung,CA,66.1451,-65.7125,26.6,74,75,13.8,broken clouds
143,Nouadhibou,MR,20.931,-17.0347,66.18,77,0,19.57,clear sky
144,Mayo,US,38.8876,-76.5119,64.17,76,90,7.0,light rain
145,Verkhnevilyuysk,RU,63.4453,120.3167,45.01,76,100,6.24,overcast clouds
146,Luderitz,NA,-26.6481,15.1594,68.45,52,100,3.2,overcast clouds
147,Gra Liyia,GR,35.0167,25.6833,72.45,44,0,6.67,clear sky
148,Shwebo,MM,22.5667,95.7,84.51,67,100,8.55,overcast clouds
149,Prado,BR,-17.3411,-39.2208,77.81,79,95,13.47,overcast clouds
150,Saskylakh,RU,71.9167,114.0833,36.14,89,8,5.91,clear sky
151,La Union,PE,-5.4,-80.75,82.27,53,14,13.33,few clouds
152,Airai,TL,-8.9266,125.4092,55.9,85,7,2.68,clear sky
153,Gat,IL,31.61,34.7642,71.82,72,0,2.59,clear sky
154,Chicama,PE,-7.8447,-79.1469,66.74,68,23,9.26,few clouds
155,Fort Nelson,CA,58.8053,-122.7002,53.19,66,75,5.75,broken clouds
156,Khorixas,NA,-20.3667,14.9667,68.65,30,0,11.81,clear sky
157,Bossangoa,CF,6.4926,17.4552,79.2,56,17,4.41,few clouds
158,Da Nang,VN,16.0678,108.2208,82.38,89,20,2.3,few clouds
159,Camacha,PT,33.0833,-16.3333,64.53,68,75,11.5,broken clouds
160,Aitape,PG,-3.1374,142.3475,78.85,85,99,3.98,moderate rain
161,Zemio,CF,5.0314,25.1361,69.91,93,100,0.67,moderate rain
